date,terminal_id,terminal_name,region,inbound_train_count,inbound_car_count,cars_on_hand,yard_occupancy_pct,crew_starts_available,locomotive_availability_pct,is_weekend,month,target_dwell_hours
2022-01-01,T01,Barstow,West,13,304,532,59.1,13,92.3,1,1,19.7
2022-01-01,T02,Alliance,Midwest,14,388,635,57.7,24,85.7,1,1,17.9
2022-01-01,T03,Galesburg,Midwest,12,306,426,56.8,11,87.0,1,1,26.3
2022-01-01,T04,Memphis,South,8,175,615,64.7,17,95.7,1,1,26.0
2022-01-01,T05,Kansas City,Midwest,13,281,710,59.2,21,82.4,1,1,17.1
2022-01-01,T06,Stockton,West,3,74,314,57.1,8,79.9,1,1,20.2
2022-01-01,T07,Amarillo,South,8,170,381,63.5,13,88.4,1,1,15.7
2022-01-01,T08,Havre,North,2,46,228,57.0,11,92.5,1,1,17.4
2022-01-02,T01,Barstow,West,11,223,461,51.2,11,95.3,1,1,19.5
2022-01-02,T02,Alliance,Midwest,7,145,369,33.5,14,88.7,1,1,19.6
2022-01-02,T03,Galesburg,Midwest,13,330,447,59.6,10,92.6,1,1,28.3
2022-01-02,T04,Memphis,South,15,336,782,82.3,14,81.9,1,1,18.9
2022-01-02,T05,Kansas City,Midwest,13,336,764,63.7,17,85.6,1,1,25.2
2022-01-02,T06,Stockton,West,7,147,393,71.5,6,88.0,1,1,17.1
2022-01-02,T07,Amarillo,South,4,83,284,47.3,7,90.1,1,1,22.3
2022-01-02,T08,Havre,North,4,97,264,66.0,7,88.2,1,1,17.3
2022-01-03,T01,Barstow,West,10,219,448,49.8,18,85.7,0,1,20.0
2022-01-03,T02,Alliance,Midwest,14,328,516,46.9,21,89.3,0,1,13.1
2022-01-03,T03,Galesburg,Midwest,12,301,417,55.6,11,88.7,0,1,24.8
2022-01-03,T04,Memphis,South,12,309,769,80.9,24,89.5,0,1,22.9
2022-01-03,T05,Kansas City,Midwest,16,373,804,67.0,16,90.3,0,1,19.1
2022-01-03,T06,Stockton,West,5,83,341,62.0,10,88.3,0,1,18.7
2022-01-03,T07,Amarillo,South,10,259,466,77.7,14,85.6,0,1,18.5
2022-01-03,T08,Havre,North,7,162,336,84.0,10,78.8,0,1,13.3
2022-01-04,T01,Barstow,West,7,138,350,38.9,14,88.5,0,1,20.4
2022-01-04,T02,Alliance,Midwest,4,87,258,23.5,27,89.4,0,1,22.3
2022-01-04,T03,Galesburg,Midwest,11,292,392,52.3,14,85.4,0,1,34.8
2022-01-04,T04,Memphis,South,10,285,767,80.7,9,81.8,0,1,22.6
2022-01-04,T05,Kansas City,Midwest,16,366,811,67.6,24,92.9,0,1,18.8
2022-01-04,T06,Stockton,West,9,241,500,90.9,14,82.0,0,1,15.4
2022-01-04,T07,Amarillo,South,12,127,350,58.3,8,86.6,0,1,14.8
2022-01-04,T08,Havre,North,6,100,297,74.2,13,82.2,0,1,16.5
2022-01-05,T01,Barstow,West,9,175,361,40.1,17,90.5,0,1,20.7
2022-01-05,T02,Alliance,Midwest,16,394,501,45.5,17,82.0,0,1,18.0
2022-01-05,T03,Galesburg,Midwest,17,446,542,72.3,8,86.4,0,1,23.7
2022-01-05,T04,Memphis,South,15,392,899,94.6,26,92.3,0,1,18.3
2022-01-05,T05,Kansas City,Midwest,15,290,753,62.7,27,83.3,0,1,16.7
2022-01-05,T06,Stockton,West,4,93,400,72.7,16,86.6,0,1,22.2
2022-01-05,T07,Amarillo,South,5,145,360,60.0,15,89.8,0,1,11.9
